,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
72,yandy díaz,650490,77.08410448342966,75.59291716124055,4.599071895600792,9.546900395470262,2.7559264360523327e-278,1.1570835567103888,2.4491530429901997e-170,0.9719208384004545,0.3034925373134329,0.29285714285714287,0.16267200000000004,0.16532258064516128,250.0,71.60965433729802,0.14082053731343286,0.1275345622119816
73,andrew mccutchen,457705,77.33496199626306,75.63243310143753,7.045271491515225,9.379280085024547,5.2846534111687345e-179,1.129682693409511,1.366523142720222e-95,0.9665742330990439,0.4443863636363636,0.413,0.20367708333333331,0.15487499999999998,192.0,71.58761788900073,0.24070928030303027,0.258125
74,gavin sheets,657757,77.56853627849078,75.81000359844788,6.474081645136355,9.558260047788274,2.0114712457821585e-193,1.1626890161339638,4.376153463702626e-137,0.9737393806239097,0.39984745762711865,0.4818571428571429,0.2204766355140187,0.25456603773584907,215.0,71.55866719670139,0.17937082211309996,0.2272911051212938
75,enrique hernández,571771,77.64362578906244,76.14120866490205,5.026514934737473,9.498934020712683,4.2666776546138565e-121,1.1545742732936413,1.463403676886542e-69,0.9734621455541681,0.37461538461538463,0.6245555555555555,0.16508474576271187,0.19382758620689652,119.0,71.54220138991754,0.20953063885267276,0.430727969348659
76,brandon nimmo,607043,77.43403258404116,76.06581065367881,7.354636059199902,9.811221403682886,4.4550312692674285e-233,1.1598635003793702,3.1187486914970608e-148,0.9737819691843949,0.4884727272727273,0.5376206896551724,0.21666129032258064,0.2514677419354839,249.0,71.51712207166179,0.27181143695014665,0.2861529477196885
77,trevor larnach,663616,77.35981216736943,75.7456054628044,6.791956931597276,9.646184772099916,8.860018704605765e-127,1.1860206557048383,4.209557083861213e-65,0.9714587521166895,0.48703125,0.4603333333333334,0.2473809523809524,0.2672903225806452,127.0,71.50317396960307,0.23965029761904763,0.1930430107526882
78,anthony santander,623993,77.85527067197827,76.27811526761117,6.624457396032145,9.822437619130632,1.6848273694065693e-282,1.141124143587945,7.9565000819519305e-165,0.9679322291146534,0.287015873015873,0.29370967741935483,0.12644755244755246,0.12823943661971832,286.0,71.48755491326817,0.16056832056832054,0.16547024079963651
79,ketel marte,606466,79.33804849250949,77.00302496868471,8.285994421817858,9.395458779004837,3.3025118798871944e-265,1.1734735562361054,1.6690310465100143e-158,0.9732834326386933,0.4268412698412698,0.47780645161290325,0.19772794117647058,0.21782352941176472,272.0,71.40846763996421,0.22911332866479922,0.2599829222011385
80,rafael devers,646240,78.23330390815615,76.54769188390155,6.816373583590325,9.672290661268434,7.573692090872864e-207,1.180297038565422,9.291198110370722e-105,0.9723795292204194,0.4187045454545455,0.4258928571428572,0.1860909090909091,0.24336734693877551,198.0,71.38917994699214,0.23261363636363638,0.18252551020408167
81,bryce harper,547180,77.42416465528501,76.21300892961908,7.18956600557003,9.620105602773942,4.359273690687398e-230,1.1377986090505314,6.755366078204724e-124,0.9646804293071047,0.41450980392156866,0.4684137931034483,0.1626153846153846,0.20898461538461538,260.0,71.3871683725783,0.25189441930618406,0.2594291777188329
82,james outman,681546,78.2259233479736,75.8536033659568,6.8268119057220655,9.044629469648068,1.89569643999185e-126,1.1080147055676126,1.6239855369756185e-66,0.9621898741494059,0.2927391304347826,0.18225000000000002,0.09483098591549295,0.06248571428571429,143.0,71.3708631600797,0.19790814451928967,0.11976428571428574
83,blaze alexander,677942,77.89003797252491,75.31143484883567,6.750099772168282,9.70644177580878,4.4904867207944645e-136,1.1328392473654059,1.4344747185882394e-72,0.9710561544806597,0.26655172413793105,0.37587499999999996,0.11042857142857143,0.1718285714285714,140.0,71.33577110568955,0.1561231527093596,0.20404642857142855
84,seth brown,664913,76.66834150233652,75.21269028949897,7.656750986126747,9.922074984223787,3.6261603267999536e-167,1.137616917104951,2.289363205392985e-89,0.9671347209364844,0.375051282051282,0.3780555555555556,0.16621590909090908,0.1546590909090909,177.0,71.32653994467472,0.20883537296037294,0.22339646464646468
85,alec bohm,664761,76.19960235894425,75.0371198458786,5.718563589266651,9.766930104580476,4.348438672565025e-234,1.1990138295496064,1.0484425502931552e-146,0.977840828033434,0.42110606060606065,0.4018823529411764,0.24379824561403513,0.239719298245614,229.0,71.201078625696,0.17730781499202553,0.16216305469556241
86,mj melendez,669004,76.7926143340737,75.79278459584557,6.730996333237359,9.214889379012934,1.459235958499152e-210,1.1572151984431973,6.169062535073196e-115,0.9703150493772753,0.41717777777777776,0.5566666666666668,0.16183620689655173,0.20155172413793104,232.0,71.1920683589854,0.255341570881226,0.3551149425287357
